gene_342	381833	382330	-	498
gene_560	636926	637888	-	963
gene_631	710635	712965	+	2331
gene_689	775185	776921	+	1737
gene_715	803541	804785	+	1245
gene_782	903390	903875	-	486
gene_795	916257	918083	+	1827
gene_796	918128	919183	+	1056
gene_813	942644	944095	-	1452
gene_1160	1332494	1333465	-	972
gene_1307	1494605	1496050	-	1446
gene_1508	1710747	1711187	-	441
gene_2066	2327228	2328487	-	1260
gene_2313	2616632	2617930	-	1299
gene_3301	3752603	3752809	-	207
gene_3452	3923657	3925060	+	1404
gene_3456	3927315	3929957	-	2643
gene_3489	3969705	3970319	+	615
gene_3806	4288710	4289858	-	1149
gene_3886	4362811	4365030	-	2220
gene_4133	4632278	4632964	-	687
